日付,摘要,出金,入金,残高
2026/09/01,ﾘｿｸ,,"3","1,000,003"
2026/09/10,ﾌﾘｺﾐ ｻﾝﾌﾟﾙｼﾖｳｼﾞ,,"110,000","1,110,003"
2026/09/15,ﾌﾘｺﾐ ｶ)ﾔﾏﾀﾞｼﾖｳｼﾞ,,"54,560","1,164,563"
2026/09/18,ｺｳｻﾞﾌﾘｶｴ ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ,"18,420",,"1,146,143"
2026/09/25,ﾌﾘｺﾐ ﾔﾏﾀﾞ ﾀﾛｳ,,"88,000","1,234,143"
2026/09/30,ﾌﾘｺﾐ ﾃｽﾄｺｳｷﾞﾖｳ,,"55,000","1,289,143"
2026/10/05,ｺｳｻﾞﾌﾘｶｴ ｻﾝﾌﾟﾙｸﾗｳﾄﾞ,"39,600",,"1,249,543"
2026/10/15,ﾌﾘｺﾐ ｼﾖｳﾋﾝ ﾀﾞｲｷﾝ,,"44,000","1,293,543"
2026/10/28,ﾌﾘｺﾐ ｶ)ﾌﾒｲ,,"12,345","1,305,888"
2026/10/29,ﾌﾘｺﾐ ﾃｽﾄｺｳｷﾞﾖｳ,,"30,000","1,335,888"
2026/10/30,ﾌﾘｺﾐ ﾔﾏﾀﾞ ﾀﾛｳ,,"88,000","1,423,888"
